label,message,clean_message,tokens,processed_message,target
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']",aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']",ffffffffff alright way meet sooner,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,"['forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']",forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol,0
ham,Lol your always so convincing.,lol your always so convincing,"['lol', 'alway', 'convinc']",lol alway convinc,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,"['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']",catch bu fri egg make tea eat mom left dinner feel love,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",im back amp were packing the car now ill let you know if theres room,"['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'there', 'room']",im back amp pack car ill let know there room,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol,"['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']",ahhh work vagu rememb feel like lol,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,"['wait', 'that', 'still', 'clear', 'sure', 'sarcast', 'that', 'x', 'doesnt', 'want', 'live', 'us']",wait that still clear sure sarcast that x doesnt want live us,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,"['yeah', 'got', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wont', 'go', 'badli', 'cheer']",yeah got v apologet n fallen actin like spoilt child got caught till wont go badli cheer,0
ham,K tell me anything about you.,k tell me anything about you,"['k', 'tell', 'anyth']",k tell anyth,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,for fear of fainting with the of all that housework you just did quick have a cuppa,"['fear', 'faint', 'housework', 'quick', 'cuppa']",fear faint housework quick cuppa,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks for your subscription to ringtone uk your mobile will be charged å£ month please confirm by replying yes or no if you reply no you will not be charged,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'å£', 'month', 'pleas', 'confirm', 'repli', 'ye', 'repli', 'charg']",thank subscript rington uk mobil charg å£ month pleas confirm repli ye repli charg,1
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at the timings then i msg ì again xuhui going to learn on nd may too but her lesson is at am,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ì', 'xuhui', 'go', 'learn', 'nd', 'may', 'lesson']",yup ok go home look time msg ì xuhui go learn nd may lesson,0
ham,"Oops, I'll let you know when my roommate's done",oops ill let you know when my roommates done,"['oop', 'ill', 'let', 'know', 'roommat', 'done']",oop ill let know roommat done,0
ham,I see the letter B on my car,i see the letter b on my car,"['see', 'letter', 'b', 'car']",see letter b car,0
ham,Anything lor... U decide...,anything lor u decide,"['anyth', 'lor', 'u', 'decid']",anyth lor u decid,0
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,"['hello', 'how', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'tri', 'invit', 'anyth']",hello how saturday go text see youd decid anyth tomo im tri invit anyth,0
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,"['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']",pl go ahead watt want sure great weekend abiola,0
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']",forget tell want need crave love sweet arabian steed mmmmmm yummi,0
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,"['rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', 'deliveri', 'tomorrow']",rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,1
ham,WHO ARE YOU SEEING?,who are you seeing,['see'],see,0
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am ltgt inches,"['great', 'hope', 'like', 'man', 'well', 'endow', 'ltgt', 'inch']",great hope like man well endow ltgt inch,0
ham,No calls..messages..missed calls,no callsmessagesmissed calls,"['callsmessagesmiss', 'call']",callsmessagesmiss call,0
ham,Didn't you get hep b immunisation in nigeria.,didnt you get hep b immunisation in nigeria,"['didnt', 'get', 'hep', 'b', 'immunis', 'nigeria']",didnt get hep b immunis nigeria,0
ham,"Fair enough, anything going on?",fair enough anything going on,"['fair', 'enough', 'anyth', 'go']",fair enough anyth go,0
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully if tyler cant do it i could maybe ask around a bit,"['yeah', 'hope', 'tyler', 'cant', 'could', 'mayb', 'ask', 'around', 'bit']",yeah hope tyler cant could mayb ask around bit,0
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', 'im', 'weak', 'sucker', 'hospit', 'weak', 'sucker']",u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker,0
ham,What you thinked about me. First time you saw me in class.,what you thinked about me first time you saw me in class,"['think', 'first', 'time', 'saw', 'class']",think first time saw class,0
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,"['gram', 'usual', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']",gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,0
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,"['k', 'fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', 'he', 'crash', 'place', 'tonight']",k fyi x ride earli tomorrow morn he crash place tonight,0
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,"['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', 'cave', 'im', 'sorri', 'didnt', 'dont', 'give', 'im', 'sorri', 'offer', 'im', 'sorri', 'room', 'embarass']",wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass,0
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'repli', 'end', 'sptv']",sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do you know what mallika sherawat did yesterday find out now lturlgt,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']",know mallika sherawat yesterday find lturlgt,0
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bx ip we pm dont miss out,"['congrat', 'year', 'special', 'cinema', 'pass', 'call', 'c', 'suprman', 'v', 'matrix', 'starwar', 'etc', 'free', 'bx', 'ip', 'pm', 'dont', 'miss']",congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss,1
ham,"Sorry, I'll call later in meeting.",sorry ill call later in meeting,"['sorri', 'ill', 'call', 'later', 'meet']",sorri ill call later meet,0
ham,Tell where you reached,tell where you reached,"['tell', 'reach']",tell reach,0
ham,Yes..gauti and sehwag out of odi series.,yesgauti and sehwag out of odi series,"['yesgauti', 'sehwag', 'odi', 'seri']",yesgauti sehwag odi seri,0
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me,"['gon', 'na', 'pick', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'kill']",gon na pick burger way home cant even move pain kill,0
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls are situation seekers,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situat', 'seeker']",ha ha ha good joke girl situat seeker,0
ham,Its a part of checking IQ,its a part of checking iq,"['part', 'check', 'iq']",part check iq,0
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry my roommates took forever it ok if i come by now,"['sorri', 'roommat', 'took', 'forev', 'ok', 'come']",sorri roommat took forev ok come,0
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,0
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a å£ bonus prize call,"['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', 'å£', 'bonu', 'prize', 'call']",valu custom pleas advis follow recent review mob award å£ bonu prize call,1
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,"['today', 'song', 'dedic', 'day', 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnd', 'first', 'rpli']",today song dedic day song u dedic send ur valuabl frnd first rpli,0
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded a complimentary trip to eurodisinc trav acoentry or å£ to claim txt dis to å£ morefrmmob shracomorsglsuplt ls aj,"['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'acoentri', 'å£', 'claim', 'txt', 'di', 'å£', 'morefrmmob', 'shracomorsglsuplt', 'ls', 'aj']",urgent ur award complimentari trip eurodisinc trav acoentri å£ claim txt di å£ morefrmmob shracomorsglsuplt ls aj,1
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",did you hear about the new divorce barbie it comes with all of kens stuff,"['hear', 'new', 'divorc', 'barbi', 'come', 'ken', 'stuff']",hear new divorc barbi come ken stuff,1
ham,I plane to give on this month end.,i plane to give on this month end,"['plane', 'give', 'month', 'end']",plane give month end,0
ham,Wah lucky man... Then can save money... Hee...,wah lucky man then can save money hee,"['wah', 'lucki', 'man', 'save', 'money', 'hee']",wah lucki man save money hee,0
ham,Finished class where are you.,finished class where are you,"['finish', 'class']",finish class,0
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do something xx,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'someth', 'xx']",hi babe im home wan na someth xx,0
ham,K..k:)where are you?how did you performed?,kkwhere are youhow did you performed,"['kkwhere', 'youhow', 'perform']",kkwhere youhow perform,0
ham,U can call me now...,u can call me now,"['u', 'call']",u call,0
ham,I am waiting machan. Call me once you free.,i am waiting machan call me once you free,"['wait', 'machan', 'call', 'free']",wait machan call free,0
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool i am a gentleman and will treat you with dignity and respect,"['that', 'cool', 'gentleman', 'treat', 'digniti', 'respect']",that cool gentleman treat digniti respect,0
ham,I like you peoples very much:) but am very shy pa.,i like you peoples very much but am very shy pa,"['like', 'peopl', 'much', 'shi', 'pa']",like peopl much shi pa,0
ham,Does not operate after  &lt;#&gt;  or what,does not operate after ltgt or what,"['oper', 'ltgt']",oper ltgt,0
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,its not the same here still looking for a job how much do tas earn there,"['still', 'look', 'job', 'much', 'ta', 'earn']",still look job much ta earn,0
ham,"Sorry, I'll call later",sorry ill call later,"['sorri', 'ill', 'call', 'later']",sorri ill call later,0
ham,K. Did you call me just now ah? ,k did you call me just now ah,"['k', 'call', 'ah']",k call ah,0
ham,Ok i am on the way to home hi hi,ok i am on the way to home hi hi,"['ok', 'way', 'home', 'hi', 'hi']",ok way home hi hi,0
ham,You will be in the place of that man,you will be in the place of that man,"['place', 'man']",place man,0
ham,Yup next stop.,yup next stop,"['yup', 'next', 'stop']",yup next stop,0
ham,"I call you later, don't have network. If urgnt, sms me.",i call you later dont have network if urgnt sms me,"['call', 'later', 'dont', 'network', 'urgnt', 'sm']",call later dont network urgnt sm,0
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis,"['real', 'u', 'get', 'yo', 'need', 'ticket', 'one', 'jacket', 'im', 'done', 'alreadi', 'use', 'multi']",real u get yo need ticket one jacket im done alreadi use multi,0
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,"['ye', 'start', 'send', 'request', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'doubl', 'coin', 'factori', 'got', 'ta', 'cash', 'nitro']",ye start send request make pain came back im back bed doubl coin factori got ta cash nitro,0
ham,I'm really not up to it still tonight babe,im really not up to it still tonight babe,"['im', 'realli', 'still', 'tonight', 'babe']",im realli still tonight babe,0
ham,"Ela kano.,il download, come wen ur free..",ela kanoil download come wen ur free,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",ela kanoil download come wen ur free,0
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah do donû÷t stand to close tho youû÷ll catch something,"['yeah', 'don\x89û÷t', 'stand', 'close', 'tho', 'you\x89û÷ll', 'catch', 'someth']",yeah donû÷t stand close tho youû÷ll catch someth,0
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuff moro and that includes all my time sheets and that sorry,"['sorri', 'pain', 'ok', 'meet', 'anoth', 'night', 'spent', 'late', 'afternoon', 'casualti', 'mean', 'havent', 'done', 'stuff', 'moro', 'includ', 'time', 'sheet', 'sorri']",sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff moro includ time sheet sorri,0
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,"['smile', 'pleasur', 'smile', 'pain', 'smile', 'troubl', 'pour', 'like', 'rain', 'smile', 'sum', 'hurt', 'u', 'smile', 'becoz', 'someon', 'still', 'love', 'see', 'u', 'smile']",smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile,0
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,please call our customer service representative on between am pm as you have won a guaranteed å£ cash or å£ prize,"['pleas', 'call', 'custom', 'servic', 'repres', 'pm', 'guarante', 'å£', 'cash', 'å£', 'prize']",pleas call custom servic repres pm guarante å£ cash å£ prize,1
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning to buy later i check already lido only got show in e afternoon u finish work already,"['havent', 'plan', 'buy', 'later', 'check', 'alreadi', 'lido', 'got', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'alreadi']",havent plan buy later check alreadi lido got show e afternoon u finish work alreadi,0
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,"['free', 'rington', 'wait', 'collect', 'simpli', 'text', 'password', 'mix', 'verifi', 'get', 'usher', 'britney', 'fml']",free rington wait collect simpli text password mix verifi get usher britney fml,1
ham,Watching telugu movie..wat abt u?,watching telugu moviewat abt u,"['watch', 'telugu', 'moviewat', 'abt', 'u']",watch telugu moviewat abt u,0
ham,i see. When we finish we have loads of loans to pay,i see when we finish we have loads of loans to pay,"['see', 'finish', 'load', 'loan', 'pay']",see finish load loan pay,0
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham,"['hi', 'wk', 'ok', 'hol', 'ye', 'bit', 'run', 'forgot', 'hairdress', 'appoint', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'caus', 'prob', 'u', 'ham']",hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham,0
ham,Please don't text me anymore. I have nothing else to say.,please dont text me anymore i have nothing else to say,"['pleas', 'dont', 'text', 'anymor', 'noth', 'els', 'say']",pleas dont text anymor noth els say,0
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'xx']",okay name ur price long legal wen pick u ave x am xx,0
